Title,Bias Rating,Factual Reporting,Country,Press Freedom Rating,Media Type:,Traffic/Popularity:,MBFC Credibility Rating:,Source,Unnamed: 9,link
ZDNet (zdnet.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Website,High Traffic,HIGH ,https://www.zdnet.com/,,www.zdnet.com
WXIA – 11alive.com,CENTER,HIGH,USA,MOSTLY FREEDOM,Website,Medium Traffic,HIGH ,https://11alive.com,,11alive.com
WVEC – 13newsnow.com,CENTER,HIGH,USA,MOSTLY FREEDOM,Website,Medium Traffic,HIGH ,https://www.13newsnow.com,,www.13newsnow.com
WUSA9.com,CENTER,HIGH,USA,MOSTLY FREEDOM,TV Station,Medium Traffic,HIGH ,https://wusa9.com,,wusa9.com
WTXF-TV Fox 29 (fox29.com),CENTER,HIGH,USA,MOSTLY FREEDOM,TV Station,Medium Traffic,HIGH ,https://www.fox29.com/,,www.fox29.com
WTVF – Newschannel5 (newschannel5.com),CENTER,HIGH,USA,MOSTLY FREEDOM,TV Station,Medium Traffic,HIGH ,https://www.newschannel5.com/,,www.newschannel5.com
WTAE Pittsburgh’s Action News (wtae.com),CENTER,HIGH,USA,MOSTLY FREEDOM,TV Station,High Traffic,HIGH ,https://www.wtae.com/,,www.wtae.com
WSAZ News Channel (wsaz.com),CENTER,HIGH,USA,MOSTLY FREEDOM,TV Station,High Traffic,HIGH ,https://www.wsaz.com/,,www.wsaz.com
WRAL,CENTER,HIGH,USA,MOSTLY FREEDOM,TV Station,High Traffic,HIGH ,https://www.wral.com/,,www.wral.com
WPXI (wpxi.com),CENTER,HIGH,USA,MOSTLY FREEDOM,TV Station,Medium Traffic,HIGH ,https://www.wpxi.com/,,www.wpxi.com
World Population Review (worldpopulationreview.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Website,High Traffic,HIGH,https://worldpopulationreview.com,,worldpopulationreview.com
World Politics Review (www.worldpoliticsreview.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Website,Medium Traffic,HIGH ,https://www.worldpoliticsreview.com,,www.worldpoliticsreview.com
Worldometer (worldometers.info),CENTER,HIGH,USA,MOSTLY FREEDOM,Website,High Traffic,HIGH ,https://worldometers.info,,worldometers.info
World News (wn.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Website,Medium Traffic,HIGH,https://wn.com,,wn.com
WOFL (fox35orlando.com),CENTER,HIGH,USA,MOSTLY FREEDOM,TV Station,High Traffic,HIGH,https://www.fox35orlando.com/,,www.fox35orlando.com
WMUR9 (wmur.com),CENTER,HIGH,USA,,TV Station,High Traffic,,https://www.wmur.com/,,www.wmur.com
Wisconsin State Journal (host.madison.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Newspaper,Medium Traffic,HIGH ,https://madison.com/wsj,,madison.com
WION (World is One News) (www.wionews.com),LEAST BIASED,MIXED,India,LOW FREEDOM,Website,Medium Traffic,MEDIUM,https://www.wionews.com/,,www.wionews.com
Winston-Salem Journal,CENTER,HIGH,USA,MOSTLY FREEDOM,Newspaper,Medium Traffic,HIGH ,https://journalnow.com/,,journalnow.com
Winona Daily News,CENTER,HIGH,USA,MOSTLY FREEDOM,Newspaper,Minimal Traffic,HIGH ,https://winonadailynews.com/,,winonadailynews.com
Winnipeg Free Press (winnipegfreepress.com),CENTER,HIGH,USA,,Newspaper,High Traffic,HIGH ,https://www.winnipegfreepress.com/,,www.winnipegfreepress.com
Wikipedia (www.wikipedia.org),CENTER,MIXED,USA,USA (44/180 Press Freedom),,High Traffic,MEDIUM ,https://en.wikipedia.org,,en.wikipedia.org
WikiNews (en.wikinews.org),CENTER,HIGH,USA,MOSTLY FREEDOM,Website,Medium Traffic,HIGH ,https://en.wikinews.org,,en.wikinews.org
Wichita Eagle (www.kansas.com),CENTER,HIGH,USA,USA (44/180 Press Freedom),,Medium Traffic,HIGH ,https://www.kansas.com,,www.kansas.com
WGN News (wgntv.com),CENTER,HIGH,USA,USA (44/180 Press Freedom),TV Station,,,https://wgntv.com,,wgntv.com
WGHP – Fox8 (myfox8.com),CENTER,HIGH,USA,MOSTLY FREEDOM,TV Station,Medium Traffic,HIGH ,https://myfox8.com,,myfox8.com
WFMZ (wfmz.com),CENTER,HIGH,USA,MOSTLY FREEDOM,TV Station,High Traffic,HIGH ,https://www.wfmz.com/,,www.wfmz.com
WFMYnews2.com,CENTER,HIGH,USA,MOSTLY FREEDOM,TV Station,Medium Traffic,HIGH ,https://wfmynews2.com,,wfmynews2.com
WETM – ,CENTER,HIGH,USA,MOSTLY FREEDOM,TV Station,Medium Traffic,HIGH ,https://mytwintiers.com,,mytwintiers.com
Western Mass News (westernmassnews.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Website,Medium Traffic,HIGH ,https://westernmassnews.com,,westernmassnews.com
We are the Mighty (www.wearethemighty.com),CENTER,HIGH,USA,,,,,https://www.wearethemighty.com/,,www.wearethemighty.com
WDIV – ClickOnDetroit (clickondetroit.com),CENTER,HIGH,USA,MOSTLY FREEDOM,TV Station,High Traffic,HIGH ,https://www.clickondetroit.com/,,www.clickondetroit.com
WCAX3 (wcax.com),CENTER,HIGH,USA,MOSTLY FREEDOM,TV Station,High Traffic,HIGH ,https://www.wcax.com/,,www.wcax.com
WBTV (wbtv.com),CENTER,HIGH,USA,,TV Station,Medium Traffic,,https://www.wbtv.com/,,www.wbtv.com
Washington’s Top News (WTOP) (wtop.com),CENTER,HIGH,USA,,,,,https://wtop.com,,wtop.com
Washington Journal (C-Span),CENTER,HIGH,USA,USA (44/180 Press Freedom),,Medium Traffic,HIGH ,https://www.c-span.org,,www.c-span.org
War on the Rocks (warontherocks.com),CENTER,HIGH,USA,,,,,https://warontherocks.com,,warontherocks.com
Waco Tribune-Herald (https://www.wacotrib.com),CENTER,HIGH,USA,,,,,https://www.wacotrib.com,,www.wacotrib.com
Vote Smart (votesmart.org),CENTER,HIGH,USA,USA (44/180 Press Freedom),,Medium Traffic,HIGH ,https://votesmart.org,,votesmart.org
Vos Iz Neias (www.vosizneias.com),CENTER,MIXED,USA,MOSTLY FREEDOM,Website,Medium Traffic,MEDIUM ,https://www.vosizneias.com/,,www.vosizneias.com
Voice of America (www.voanews.com),CENTER,HIGH,USA ,USA (44/180 Press Freedom),,High Traffic,HIGH ,https://www.voanews.com/,,www.voanews.com
Viral Thread (www.viralthread.com),CENTER,HIGH,United Kingdom,,,,,http://www.viralthread.com,,www.viralthread.com
Utah Standard-Examiner (www.standard.net),CENTER,HIGH,USA,,,Medium Traffic,HIGH ,https://www.standard.net/,,www.standard.net
USAFacts (www.usafacts.org),CENTER,HIGH,USA ,,,,HIGH ,https://www.usafacts.org,,www.usafacts.org
USA Spending (www.usaspending.gov),CENTER,HIGH,USA,,,,,https://www.usaspending.gov,,www.usaspending.gov
United State House of Representatives (www.house.gov),CENTER,HIGH,USA,USA (44/180 Press Freedom),,High Traffic,VERY HIGH,https://www.house.gov,,www.house.gov
United Press International (UPI) (www.upi.com),CENTER,HIGH,USA,USA (44/180 Press Freedom),,Medium Traffic,HIGH ,http://www.upi.com/,,www.upi.com
TVW Washington State (www.tvw.org),CENTER,HIGH,USA,,,,,https://www.tvw.org/,,www.tvw.org
Tut.by,LEAST BIASED,HIGH,Belarus,MOSTLY FREEDOM,Website,High Traffic,HIGH,https://tut.by/,,tut.by
TruthorFiction.com (www.truthorfiction.com),CENTER,HIGH,USA,USA (44/180 Press Freedom),,Medium Traffic,HIGH ,https://www.truthorfiction.com,,www.truthorfiction.com
Tri-City Herald (tri-cityherald.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Newspaper,Medium Traffic,HIGH ,https://www.tri-cityherald.com/,,www.tri-cityherald.com
Tribune Content Agency (tribunecontentagency.com),CENTER,HIGH,USA,USA (44/180 Press Freedom),,Medium Traffic,HIGH ,https://tribunecontentagency.com,,tribunecontentagency.com
Traverse City Record-Eagle,CENTER,HIGH,USA,,,,,https://recoed-eagle.com,,recoed-eagle.com
Transpartisan Review (transpartisanreview.com/),CENTER,HIGH,USA ,USA (44/180 Press Freedom),,Minimal Traffic,HIGH ,https://transpartisanreview.com/,,transpartisanreview.com
Transparency International (www.transparency.org),LEAST BIASED,,Germany,,,,,https://www.transparency.org/about,,www.transparency.org
Today I Found Out (www.todayifoundout.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Website,Medium Traffic,HIGH ,https://www.todayifoundout.com,,www.todayifoundout.com
Times-News (Idaho) (magicvalley.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Newspaper,Medium Traffic,HIGH ,https://magicvalley.com,,magicvalley.com
Times of San Diego (timesofsandiego.com),CENTER,HIGH,USA,USA (44/180 Press Freedom),,Medium Traffic,HIGH ,https://timesofsandiego.com,,timesofsandiego.com
